Battery_ID,Temperature,Voltage,Current,Internal_Resistance,Charge_Time,Discharge_Time,SOC,SOH,DOD,Ambient_Humidity,RUL
1,29.63,3.98,1.55,0.143,60,113,99.65,99.65,0.35,47.98,9965
1,30.49,3.15,1.73,0.064,59,115,99.64,99.64,0.36,59.17,9964
1,29.79,3.95,2.0,0.058,56,117,99.63,99.63,0.37,32.92,9963
1,23.25,3.33,1.82,0.131,63,124,99.62,99.62,0.38,59.29,9962
1,34.89,3.21,1.84,0.083,65,118,99.61,99.61,0.39,46.48,9961
1,26.16,3.33,1.41,0.098,68,119,99.6,99.6,0.4,37.17,9960
1,21.0,3.56,1.36,0.105,53,130,99.59,99.59,0.41,56.93,9959
1,34.37,3.12,1.34,0.146,54,119,99.58,99.58,0.42,58.22,9958
1,26.97,3.02,1.95,0.053,51,129,99.57,99.57,0.43,43.43,9957
1,35.59,4.19,1.37,0.135,70,118,99.56,99.56,0.44,53.75,9956
1,30.2,3.09,1.27,0.123,64,129,99.55,99.55,0.45,57.42,9955
1,35.85,4.16,1.37,0.107,63,128,99.54,99.54,0.46,43.15,9954
1,34.84,4.03,1.03,0.074,60,122,99.53,99.53,0.47,53.53,9953
1,20.83,3.23,1.52,0.124,65,119,99.52,99.52,0.48,30.54,9952
1,21.28,3.54,1.53,0.098,63,120,99.51,99.51,0.49,41.94,9951
1,36.68,3.92,1.19,0.088,68,120,99.5,99.5,0.5,35.92,9950
1,35.31,3.95,1.24,0.062,54,120,99.49,99.49,0.51,48.62,9949
1,29.44,4.16,1.3,0.052,55,110,99.48,99.48,0.52,41.75,9948
1,34.5,3.82,1.37,0.148,60,127,99.47,99.47,0.53,30.07,9947
1,35.81,3.08,1.41,0.137,51,125,99.46,99.46,0.54,48.16,9946
1,23.63,3.13,1.77,0.103,58,125,99.45,99.45,0.55,44.12,9945
1,26.82,3.44,1.32,0.136,51,127,99.44,99.44,0.56,54.21,9944
1,23.25,3.16,1.78,0.119,70,129,99.43,99.43,0.57,31.9,9943
1,33.35,3.92,1.49,0.092,64,112,99.42,99.42,0.58,31.33,9942
1,39.67,4.15,1.27,0.147,55,115,99.41,99.41,0.59,51.4,9941
1,26.96,3.14,1.7,0.11,56,130,99.4,99.4,0.6,30.8,9940
1,29.69,3.37,1.85,0.07,53,125,99.39,99.39,0.61,42.4,9939
1,21.36,3.77,1.64,0.13,66,119,99.38,99.38,0.62,59.15,9938
1,36.18,3.22,1.51,0.143,53,125,99.37,99.37,0.63,32.87,9937
1,26.74,4.08,1.46,0.064,67,118,99.36,99.36,0.64,43.86,9936
1,25.24,3.1,1.15,0.106,51,130,99.35,99.35,0.65,35.03,9935
1,26.4,4.14,1.38,0.087,51,110,99.34,99.34,0.66,42.9,9934
1,34.55,3.4,1.24,0.082,52,122,99.33,99.33,0.67,37.58,9933
1,35.76,3.65,1.4,0.055,65,128,99.32,99.32,0.68,45.05,9932
1,33.64,4.09,1.85,0.096,64,123,99.31,99.31,0.69,55.58,9931
1,22.41,3.11,1.44,0.112,70,114,99.3,99.3,0.7,58.1,9930
1,34.32,3.91,1.08,0.062,55,110,99.29,99.29,0.71,43.78,9929
1,24.61,4.03,1.9,0.081,52,113,99.28,99.28,0.72,38.77,9928
1,34.11,3.45,1.91,0.136,67,121,99.27,99.27,0.73,43.85,9927
1,37.2,3.2,1.72,0.126,63,130,99.26,99.26,0.74,46.11,9926
1,31.92,3.06,1.87,0.055,51,114,99.25,99.25,0.75,45.29,9925
1,25.65,3.39,1.57,0.103,54,111,99.24,99.24,0.76,38.05,9924
1,28.03,4.09,1.59,0.118,64,112,99.23,99.23,0.77,58.46,9923
1,39.56,3.97,1.91,0.126,59,118,99.22,99.22,0.78,43.82,9922
1,27.76,3.02,1.22,0.052,64,120,99.21,99.21,0.79,49.36,9921
1,39.01,4.1,1.4,0.142,55,112,99.2,99.2,0.8,59.09,9920
1,22.61,4.04,1.13,0.076,66,113,99.19,99.19,0.81,50.81,9919
1,39.92,3.47,1.86,0.12,52,130,99.18,99.18,0.82,45.94,9918
1,34.89,3.68,1.44,0.115,61,119,99.17,99.17,0.83,51.64,9917
1,38.02,3.7,1.37,0.056,52,130,99.16,99.16,0.84,45.24,9916
1,39.34,3.18,1.91,0.133,70,119,99.15,99.15,0.85,56.38,9915
1,21.22,4.04,1.96,0.115,63,110,99.14,99.14,0.86,37.98,9914
1,26.44,4.0,1.65,0.142,66,116,99.13,99.13,0.87,43.6,9913
1,32.79,3.9,1.84,0.126,57,111,99.12,99.12,0.88,34.55,9912
1,38.75,3.75,1.14,0.129,56,123,99.11,99.11,0.89,47.59,9911
1,21.65,3.91,1.51,0.088,58,111,99.1,99.1,0.9,57.54,9910
1,34.17,4.0,1.8,0.059,63,119,99.09,99.09,0.91,56.23,9909
1,20.97,3.61,1.07,0.11,68,113,99.08,99.08,0.92,47.21,9908
1,34.55,3.61,1.47,0.079,61,122,99.07,99.07,0.93,48.97,9907
1,26.11,3.97,1.18,0.148,57,129,99.06,99.06,0.94,31.98,9906
1,29.28,4.02,1.17,0.09,57,113,99.05,99.05,0.95,48.83,9905
1,22.33,3.04,1.16,0.06,59,128,99.04,99.04,0.96,43.95,9904
1,22.64,3.55,1.14,0.07,70,123,99.03,99.03,0.97,30.46,9903
1,21.23,4.13,1.37,0.069,59,118,99.02,99.02,0.98,57.11,9902
1,26.43,3.37,1.48,0.05,55,128,99.01,99.01,0.99,53.08,9901
1,32.33,3.27,1.5,0.143,66,125,99.0,99.0,1.0,37.52,9900
1,39.05,4.08,1.33,0.111,53,122,98.99,98.99,1.01,36.38,9899
1,38.79,3.18,1.35,0.099,59,116,98.98,98.98,1.02,32.45,9898
1,39.63,3.99,1.23,0.147,64,126,98.97,98.97,1.03,53.88,9897
1,27.78,4.02,1.08,0.14,68,121,98.96,98.96,1.04,46.36,9896
1,27.13,3.61,1.08,0.068,52,118,98.95,98.95,1.05,34.84,9895
1,31.54,3.09,1.81,0.074,67,119,98.94,98.94,1.06,43.94,9894
1,31.19,3.33,1.34,0.121,53,117,98.93,98.93,1.07,53.23,9893
1,27.65,3.42,1.66,0.118,54,117,98.92,98.92,1.08,52.76,9892
1,30.81,3.84,1.12,0.142,62,116,98.91,98.91,1.09,44.01,9891
1,30.95,3.27,1.42,0.051,57,120,98.9,98.9,1.1,50.94,9890
1,34.2,3.75,1.65,0.128,63,130,98.89,98.89,1.11,47.88,9889
1,34.04,3.85,1.0,0.052,56,127,98.88,98.88,1.12,52.15,9888
1,29.61,3.73,1.08,0.071,64,110,98.87,98.87,1.13,55.03,9887
1,20.33,3.4,1.4,0.07,57,125,98.86,98.86,1.14,52.36,9886
1,27.9,3.71,1.34,0.09,59,112,98.85,98.85,1.15,30.5,9885
1,37.42,3.98,1.8,0.144,52,113,98.84,98.84,1.16,37.59,9884
1,32.93,3.19,1.49,0.06,68,118,98.83,98.83,1.17,37.75,9883
1,38.76,3.3,1.28,0.106,61,117,98.82,98.82,1.18,50.79,9882
1,22.67,3.62,1.91,0.134,58,126,98.81,98.81,1.19,37.1,9881
1,37.87,3.22,1.79,0.096,59,130,98.8,98.8,1.2,30.45,9880
1,21.3,4.14,1.66,0.053,58,129,98.79,98.79,1.21,37.93,9879
1,39.54,3.09,1.06,0.088,61,116,98.78,98.78,1.22,34.44,9878
1,28.32,3.22,1.1,0.118,55,126,98.77,98.77,1.23,36.2,9877
1,37.79,3.23,1.38,0.072,59,114,98.76,98.76,1.24,41.53,9876
1,31.5,4.1,1.21,0.108,51,122,98.75,98.75,1.25,52.74,9875
1,25.29,3.0,1.51,0.061,57,110,98.74,98.74,1.26,52.5,9874
1,35.52,3.13,1.54,0.071,57,121,98.73,98.73,1.27,54.7,9873
1,29.3,3.45,1.37,0.121,63,124,98.72,98.72,1.28,53.04,9872
1,29.15,3.71,1.1,0.123,63,119,98.71,98.71,1.29,36.23,9871
1,39.65,4.13,1.92,0.125,61,118,98.7,98.7,1.3,43.25,9870
1,23.45,3.23,1.09,0.126,50,113,98.69,98.69,1.31,58.6,9869
1,34.35,3.2,1.27,0.145,59,119,98.68,98.68,1.32,58.24,9868
1,37.14,3.22,1.92,0.148,61,124,98.67,98.67,1.33,30.78,9867
1,26.56,3.52,1.69,0.107,57,127,98.66,98.66,1.34,57.17,9866
1,38.68,3.41,1.1,0.14,59,112,98.65,98.65,1.35,30.22,9865
1,31.49,3.97,1.63,0.076,56,127,98.64,98.64,1.36,41.12,9864
1,22.54,4.05,1.76,0.101,58,121,98.63,98.63,1.37,39.59,9863
1,36.98,3.52,1.96,0.084,66,116,98.62,98.62,1.38,35.9,9862
1,24.81,4.09,1.35,0.13,53,117,98.61,98.61,1.39,47.09,9861
1,36.54,3.41,1.75,0.111,57,122,98.6,98.6,1.4,48.37,9860
1,37.98,4.0,1.86,0.125,67,118,98.59,98.59,1.41,42.76,9859
1,37.9,4.14,1.73,0.143,52,115,98.58,98.58,1.42,38.07,9858
1,39.15,3.28,1.97,0.142,69,111,98.57,98.57,1.43,35.38,9857
1,26.29,3.36,1.24,0.081,56,127,98.56,98.56,1.44,51.54,9856
1,37.04,3.81,1.79,0.057,59,119,98.55,98.55,1.45,37.28,9855
1,25.78,4.08,1.14,0.107,64,129,98.54,98.54,1.46,36.97,9854
1,32.11,3.99,1.35,0.115,70,112,98.53,98.53,1.47,36.96,9853
1,26.75,4.05,1.06,0.06,63,118,98.52,98.52,1.48,51.91,9852
1,33.37,4.19,1.72,0.088,55,130,98.51,98.51,1.49,38.63,9851
1,35.88,4.1,1.8,0.098,69,112,98.5,98.5,1.5,47.79,9850
1,37.94,3.36,1.57,0.131,66,121,98.49,98.49,1.51,39.01,9849
1,21.95,3.41,1.41,0.137,67,127,98.48,98.48,1.52,41.73,9848
1,29.44,3.47,1.31,0.061,57,113,98.47,98.47,1.53,49.17,9847
1,24.58,3.58,1.09,0.074,67,112,98.46,98.46,1.54,32.33,9846
1,29.71,3.62,1.06,0.068,58,127,98.45,98.45,1.55,54.02,9845
1,20.35,3.55,1.54,0.092,54,124,98.44,98.44,1.56,41.38,9844
1,20.98,3.64,1.41,0.142,58,124,98.43,98.43,1.57,41.06,9843
1,38.7,3.68,1.72,0.144,65,114,98.42,98.42,1.58,30.26,9842
1,35.42,3.77,1.96,0.103,64,117,98.41,98.41,1.59,46.81,9841
1,35.89,3.56,1.91,0.136,53,121,98.4,98.4,1.6,52.7,9840
1,28.31,3.84,1.42,0.134,65,112,98.39,98.39,1.61,57.36,9839
1,31.5,4.01,1.46,0.083,64,111,98.38,98.38,1.62,31.23,9838
1,22.76,3.03,1.03,0.081,54,126,98.37,98.37,1.63,48.3,9837
1,35.86,4.1,1.88,0.103,65,126,98.36,98.36,1.64,41.15,9836
1,31.04,3.15,1.2,0.09,66,130,98.35,98.35,1.65,58.85,9835
1,39.75,3.09,1.07,0.12,68,118,98.34,98.34,1.66,37.09,9834
1,20.53,4.05,1.09,0.075,62,125,98.33,98.33,1.67,33.61,9833
1,39.67,3.09,1.77,0.145,70,112,98.32,98.32,1.68,50.9,9832
1,21.09,3.01,1.17,0.142,50,127,98.31,98.31,1.69,36.5,9831
1,24.07,3.01,1.54,0.14,67,126,98.3,98.3,1.7,41.22,9830
1,39.85,3.53,1.06,0.096,62,125,98.29,98.29,1.71,40.21,9829
1,34.02,3.02,1.57,0.063,53,110,98.28,98.28,1.72,38.98,9828
1,34.2,3.76,1.51,0.111,50,111,98.27,98.27,1.73,39.21,9827
1,24.12,3.45,1.77,0.125,52,130,98.26,98.26,1.74,56.24,9826
1,28.78,3.54,1.88,0.121,56,128,98.25,98.25,1.75,51.23,9825
1,21.22,3.9,1.46,0.076,53,124,98.24,98.24,1.76,42.52,9824
1,31.11,3.8,1.39,0.065,57,123,98.23,98.23,1.77,54.9,9823
1,24.29,4.16,1.73,0.097,55,115,98.22,98.22,1.78,32.82,9822
1,36.09,3.65,1.4,0.104,67,114,98.21,98.21,1.79,49.39,9821
1,29.85,3.38,1.43,0.132,65,117,98.2,98.2,1.8,37.92,9820
1,38.91,4.19,1.86,0.131,63,123,98.19,98.19,1.81,40.68,9819
1,31.4,3.49,1.07,0.108,60,126,98.18,98.18,1.82,45.72,9818
1,20.76,3.76,1.15,0.089,67,114,98.17,98.17,1.83,44.54,9817
1,26.92,3.63,1.39,0.11,67,111,98.16,98.16,1.84,33.07,9816
1,29.17,3.27,1.71,0.093,62,126,98.15,98.15,1.85,36.11,9815
1,37.28,3.36,1.04,0.116,58,115,98.14,98.14,1.86,41.2,9814
1,29.86,3.15,1.78,0.102,59,127,98.13,98.13,1.87,46.16,9813
1,32.86,3.0,1.3,0.123,53,117,98.12,98.12,1.88,44.91,9812
1,20.95,3.78,1.64,0.119,58,128,98.11,98.11,1.89,52.21,9811
1,27.76,3.02,1.34,0.063,65,116,98.1,98.1,1.9,36.9,9810
1,26.31,3.82,1.16,0.074,57,119,98.09,98.09,1.91,31.79,9809
1,33.97,3.0,1.12,0.105,70,113,98.08,98.08,1.92,31.78,9808
1,31.9,4.08,1.38,0.103,59,111,98.07,98.07,1.93,43.1,9807
1,34.94,3.67,1.92,0.095,68,110,98.06,98.06,1.94,53.44,9806
1,23.65,4.19,1.97,0.068,65,129,98.05,98.05,1.95,42.7,9805
1,22.91,4.09,1.12,0.077,67,130,98.04,98.04,1.96,44.72,9804
1,25.8,3.11,1.68,0.054,59,115,98.03,98.03,1.97,53.36,9803
1,37.14,3.83,1.66,0.141,66,130,98.02,98.02,1.98,44.06,9802
1,35.76,4.11,1.26,0.138,61,118,98.01,98.01,1.99,48.13,9801
1,33.64,3.7,1.31,0.125,53,113,98.0,98.0,2.0,44.7,9800
1,37.21,3.88,1.74,0.074,57,125,97.99,97.99,2.01,36.83,9799
1,29.6,3.2,1.72,0.124,61,129,97.98,97.98,2.02,43.39,9798
1,27.64,3.46,1.03,0.141,52,119,97.97,97.97,2.03,50.61,9797
1,38.07,3.71,1.84,0.082,64,122,97.96,97.96,2.04,40.8,9796
1,29.05,3.61,1.55,0.108,50,124,97.95,97.95,2.05,38.98,9795
1,33.8,3.8,1.19,0.094,56,119,97.94,97.94,2.06,30.44,9794
1,29.71,4.16,1.08,0.054,57,121,97.93,97.93,2.07,36.29,9793
1,32.63,3.84,1.89,0.12,66,115,97.92,97.92,2.08,36.45,9792
1,34.19,3.24,1.96,0.098,52,130,97.91,97.91,2.09,32.07,9791
1,24.89,4.01,1.17,0.13,56,128,97.9,97.9,2.1,54.65,9790
1,27.77,3.63,1.19,0.079,58,118,97.89,97.89,2.11,53.59,9789
1,39.43,3.69,1.0,0.064,68,116,97.88,97.88,2.12,43.79,9788
1,35.24,3.34,1.86,0.054,58,130,97.87,97.87,2.13,49.94,9787
1,32.49,3.63,1.97,0.081,51,121,97.86,97.86,2.14,57.5,9786
1,32.76,4.18,1.5,0.083,55,126,97.85,97.85,2.15,33.0,9785
1,33.59,4.04,1.96,0.094,70,114,97.84,97.84,2.16,42.71,9784
1,20.35,3.43,1.08,0.075,67,122,97.83,97.83,2.17,44.34,9783
1,35.04,3.18,1.1,0.062,67,122,97.82,97.82,2.18,44.22,9782
1,37.77,4.0,1.02,0.059,52,117,97.81,97.81,2.19,49.44,9781
1,26.85,3.51,1.41,0.054,50,130,97.8,97.8,2.2,40.03,9780
1,36.93,3.9,1.69,0.066,63,126,97.79,97.79,2.21,34.72,9779
1,30.24,3.04,1.51,0.078,53,125,97.78,97.78,2.22,55.54,9778
1,23.01,3.87,1.19,0.064,60,110,97.77,97.77,2.23,46.82,9777
1,27.78,3.34,1.93,0.143,58,126,97.76,97.76,2.24,43.4,9776
1,25.33,3.11,1.61,0.134,67,120,97.75,97.75,2.25,40.87,9775
1,37.71,3.22,1.89,0.082,51,117,97.74,97.74,2.26,42.97,9774
1,24.15,3.88,1.21,0.129,62,113,97.73,97.73,2.27,45.93,9773
1,23.18,4.12,1.46,0.051,54,121,97.72,97.72,2.28,33.13,9772
1,28.69,3.83,1.04,0.118,68,111,97.71,97.71,2.29,42.19,9771
1,20.26,3.45,1.49,0.141,57,112,97.7,97.7,2.3,34.98,9770
1,27.27,3.82,1.93,0.09,53,125,97.69,97.69,2.31,42.58,9769
1,21.62,3.74,1.96,0.067,53,110,97.68,97.68,2.32,47.1,9768
1,24.57,3.03,1.47,0.148,70,117,97.67,97.67,2.33,57.06,9767
1,27.34,3.25,1.51,0.067,50,117,97.66,97.66,2.34,48.36,9766
1,32.32,3.25,1.64,0.084,63,116,97.65,97.65,2.35,33.18,9765
1,22.88,3.69,1.67,0.127,50,128,97.64,97.64,2.36,39.46,9764
1,23.61,3.32,1.03,0.065,53,122,97.63,97.63,2.37,44.55,9763
1,22.65,3.86,1.09,0.071,56,128,97.62,97.62,2.38,30.23,9762
1,32.65,3.8,1.24,0.146,69,111,97.61,97.61,2.39,48.68,9761
1,38.33,3.03,1.26,0.133,67,127,97.6,97.6,2.4,33.83,9760
1,27.57,3.98,1.07,0.075,63,122,97.59,97.59,2.41,54.9,9759
1,22.14,3.66,1.77,0.138,65,121,97.58,97.58,2.42,44.57,9758
1,35.1,3.48,1.19,0.067,67,122,97.57,97.57,2.43,39.26,9757
1,24.6,3.56,1.3,0.063,54,125,97.56,97.56,2.44,35.37,9756
1,32.86,3.88,1.65,0.061,70,111,97.55,97.55,2.45,59.37,9755
1,34.76,3.62,1.88,0.11,59,117,97.54,97.54,2.46,56.11,9754
1,22.35,3.35,1.27,0.139,66,119,97.53,97.53,2.47,44.4,9753
1,32.41,3.08,1.4,0.066,66,120,97.52,97.52,2.48,42.74,9752
1,21.53,3.92,1.33,0.053,52,115,97.51,97.51,2.49,35.72,9751
1,22.01,3.83,1.54,0.099,62,127,97.5,97.5,2.5,39.76,9750
1,39.08,3.43,1.83,0.057,58,126,97.49,97.49,2.51,38.56,9749
1,31.43,3.15,1.21,0.131,69,112,97.48,97.48,2.52,40.64,9748
1,36.99,3.96,1.93,0.123,58,118,97.47,97.47,2.53,44.75,9747
1,34.7,4.1,1.93,0.096,64,130,97.46,97.46,2.54,30.91,9746
1,36.3,4.09,1.63,0.106,69,127,97.45,97.45,2.55,48.83,9745
1,25.25,3.5,1.78,0.105,57,110,97.44,97.44,2.56,57.89,9744
1,20.25,3.62,1.88,0.09,56,126,97.43,97.43,2.57,42.08,9743
1,31.97,3.08,1.18,0.098,67,112,97.42,97.42,2.58,43.53,9742
1,20.16,3.97,1.16,0.12,53,126,97.41,97.41,2.59,52.51,9741
1,33.64,3.04,1.31,0.109,53,129,97.4,97.4,2.6,46.59,9740
1,24.49,3.34,1.9,0.055,70,120,97.39,97.39,2.61,42.22,9739
1,27.34,3.37,1.91,0.141,69,121,97.38,97.38,2.62,53.06,9738
1,30.22,3.2,1.16,0.1,51,129,97.37,97.37,2.63,53.07,9737
1,37.37,3.12,1.24,0.081,53,127,97.36,97.36,2.64,40.43,9736
1,30.76,4.06,1.26,0.131,53,120,97.35,97.35,2.65,34.06,9735
1,36.18,3.58,1.0,0.101,53,116,97.34,97.34,2.66,41.54,9734
1,29.23,3.37,1.11,0.135,58,110,97.33,97.33,2.67,34.49,9733
1,35.09,3.43,1.22,0.107,53,117,97.32,97.32,2.68,43.26,9732
1,27.48,3.27,1.36,0.088,69,123,97.31,97.31,2.69,45.08,9731
1,36.94,3.83,1.59,0.117,62,125,97.3,97.3,2.7,38.98,9730
1,39.46,3.55,1.25,0.14,63,127,97.29,97.29,2.71,56.21,9729
1,36.35,3.97,1.63,0.11,66,123,97.28,97.28,2.72,53.25,9728
1,28.93,3.06,1.29,0.146,62,120,97.27,97.27,2.73,31.44,9727
1,22.89,3.97,1.15,0.141,66,116,97.26,97.26,2.74,39.83,9726
1,21.12,3.73,1.23,0.137,62,120,97.25,97.25,2.75,56.31,9725
1,28.41,3.18,1.95,0.138,51,125,97.24,97.24,2.76,46.36,9724
1,20.38,3.97,1.07,0.107,54,130,97.23,97.23,2.77,46.53,9723
1,34.27,3.65,1.92,0.134,53,127,97.22,97.22,2.78,38.71,9722
1,33.75,3.68,1.27,0.078,54,116,97.21,97.21,2.79,30.8,9721
1,21.86,4.13,1.6,0.149,62,114,97.2,97.2,2.8,43.8,9720
1,22.13,3.4,1.83,0.141,67,114,97.19,97.19,2.81,58.38,9719
1,35.41,3.76,1.11,0.067,65,112,97.18,97.18,2.82,57.17,9718
1,22.72,3.4,1.5,0.076,64,116,97.17,97.17,2.83,33.46,9717
1,23.6,3.73,1.07,0.124,54,120,97.16,97.16,2.84,47.59,9716
1,26.93,3.17,1.77,0.13,57,111,97.15,97.15,2.85,41.21,9715
1,27.49,3.07,1.21,0.059,69,121,97.14,97.14,2.86,47.85,9714
1,35.45,4.19,1.6,0.107,54,128,97.13,97.13,2.87,30.17,9713
1,24.9,3.93,1.67,0.06,67,115,97.12,97.12,2.88,38.3,9712
1,30.3,3.18,1.84,0.097,50,124,97.11,97.11,2.89,44.96,9711
1,38.42,3.28,1.21,0.094,57,112,97.1,97.1,2.9,30.14,9710
1,31.97,3.13,1.58,0.058,62,118,97.09,97.09,2.91,55.79,9709
1,33.86,4.04,1.34,0.137,53,126,97.08,97.08,2.92,42.73,9708
1,36.68,3.44,1.53,0.105,64,112,97.07,97.07,2.93,56.6,9707
1,35.5,3.84,1.6,0.069,68,121,97.06,97.06,2.94,30.98,9706
1,20.77,3.3,1.83,0.122,51,113,97.05,97.05,2.95,56.84,9705
1,21.45,4.09,1.77,0.076,64,119,97.04,97.04,2.96,30.24,9704
1,35.53,3.39,1.26,0.141,66,122,97.03,97.03,2.97,57.35,9703
1,23.61,3.08,1.29,0.058,64,125,97.02,97.02,2.98,31.45,9702
1,37.77,3.49,1.31,0.067,51,128,97.01,97.01,2.99,55.81,9701
1,22.8,3.56,1.67,0.091,68,112,97.0,97.0,3.0,49.52,9700
1,31.49,4.1,1.76,0.083,69,130,96.99,96.99,3.01,58.93,9699
1,21.2,3.99,1.25,0.081,52,128,96.98,96.98,3.02,47.02,9698
1,24.82,3.72,1.56,0.143,58,115,96.97,96.97,3.03,54.3,9697
1,37.4,3.81,1.11,0.094,61,112,96.96,96.96,3.04,51.35,9696
1,22.37,3.23,1.05,0.136,56,130,96.95,96.95,3.05,38.05,9695
1,34.38,3.72,1.31,0.067,57,129,96.94,96.94,3.06,47.13,9694
1,36.57,4.19,1.66,0.107,56,119,96.93,96.93,3.07,57.47,9693
1,36.93,3.64,1.71,0.142,52,129,96.92,96.92,3.08,34.16,9692
1,25.07,3.99,1.73,0.056,58,111,96.91,96.91,3.09,30.43,9691
1,26.95,3.61,1.88,0.125,50,127,96.9,96.9,3.1,48.05,9690
1,32.97,3.8,1.74,0.058,70,127,96.89,96.89,3.11,46.87,9689
1,24.41,4.18,1.51,0.138,51,127,96.88,96.88,3.12,38.1,9688
1,25.66,3.73,1.05,0.099,56,126,96.87,96.87,3.13,48.81,9687
1,35.46,3.82,1.78,0.079,55,111,96.86,96.86,3.14,42.54,9686
1,29.41,3.71,1.17,0.071,57,110,96.85,96.85,3.15,35.2,9685
1,33.03,4.18,1.07,0.051,57,111,96.84,96.84,3.16,59.26,9684
1,21.2,3.88,1.28,0.076,68,112,96.83,96.83,3.17,46.47,9683
1,33.46,3.18,1.44,0.087,60,124,96.82,96.82,3.18,45.35,9682
1,29.3,3.17,1.98,0.096,67,116,96.81,96.81,3.19,42.83,9681
1,33.14,4.02,1.12,0.052,68,127,96.8,96.8,3.2,39.81,9680
1,31.26,3.04,1.12,0.056,63,112,96.79,96.79,3.21,49.46,9679
1,21.06,3.65,1.67,0.101,62,117,96.78,96.78,3.22,31.29,9678
1,38.03,3.58,1.44,0.135,51,128,96.77,96.77,3.23,54.48,9677
1,31.86,3.34,1.6,0.123,65,110,96.76,96.76,3.24,30.65,9676
1,27.67,3.26,1.05,0.142,50,113,96.75,96.75,3.25,55.02,9675
1,33.54,3.75,1.7,0.057,69,128,96.74,96.74,3.26,37.05,9674
1,34.58,3.74,1.68,0.062,58,130,96.73,96.73,3.27,41.77,9673
1,34.43,3.83,1.66,0.092,61,129,96.72,96.72,3.28,49.03,9672
1,26.0,4.16,1.08,0.121,53,113,96.71,96.71,3.29,51.43,9671
1,38.72,3.74,1.28,0.136,61,126,96.7,96.7,3.3,40.05,9670
1,32.71,3.65,1.3,0.08,69,119,96.69,96.69,3.31,40.23,9669
1,32.14,3.23,1.62,0.141,67,113,96.68,96.68,3.32,37.83,9668
1,25.67,3.93,1.67,0.07,63,122,96.67,96.67,3.33,46.76,9667
1,33.35,3.08,1.67,0.057,67,122,96.66,96.66,3.34,58.06,9666
1,24.02,3.44,1.1,0.111,55,121,96.65,96.65,3.35,42.23,9665
1,23.25,4.09,1.02,0.1,63,121,96.64,96.64,3.36,52.89,9664
1,25.8,3.37,1.73,0.053,64,125,96.63,96.63,3.37,56.16,9663
1,25.81,3.45,1.76,0.104,57,127,96.62,96.62,3.38,30.21,9662
